date,service,environment,daily_cost_usd,requests_millions,cpu_utilization_pct,error_rate_pct,idle_resource_pct,owner_team,operator_note
2026-01-13,analytics-hub,prod,2269.1,28.2,63.4,0.53,24.0,insights,Idle nodes expanded unexpectedly after a batch analytics rollout; investigate autoscaling and warehouse scheduling.
2026-01-14,webex-core,prod,1382.6,14.0,50.6,0.59,19.7,platform,webex-core prod baseline spend is within expected guardrails.
2026-01-14,media-pipeline,prod,1646.6,17.5,58.6,0.59,17.7,realtime,media-pipeline prod baseline spend is within expected guardrails.
2026-01-14,analytics-hub,prod,1910.6,21.0,66.6,0.59,15.7,insights,analytics-hub prod baseline spend is within expected guardrails.
2026-01-15,webex-core,prod,1423.7,14.9,53.8,0.35,21.4,platform,webex-core prod baseline spend is within expected guardrails.
2026-01-15,media-pipeline,prod,1687.7,18.4,61.8,0.35,19.4,realtime,media-pipeline prod baseline spend is within expected guardrails.
2026-01-15,analytics-hub,prod,1951.7,21.9,69.8,0.35,17.4,insights,analytics-hub prod baseline spend is within expected guardrails.
2026-01-16,webex-core,prod,1464.8,15.8,57.0,0.41,23.1,platform,webex-core prod baseline spend is within expected guardrails.
2026-01-16,media-pipeline,prod,1728.8,19.3,65.0,0.76,21.1,realtime,"Media pipeline error rate rose during deployment, creating cost inefficiency from retries."
2026-01-16,analytics-hub,prod,1992.8,22.8,73.0,0.41,19.1,insights,analytics-hub prod baseline spend is within expected guardrails.
2026-01-17,webex-core,prod,1404.7,16.7,41.0,0.47,18.0,platform,webex-core prod baseline spend is within expected guardrails.
2026-01-17,media-pipeline,prod,1668.7,20.2,49.0,0.47,16.0,realtime,media-pipeline prod baseline spend is within expected guardrails.
2026-01-17,analytics-hub,prod,1932.7,23.7,57.0,0.47,14.0,insights,analytics-hub prod baseline spend is within expected guardrails.
2026-01-18,webex-core,prod,1445.8,17.6,44.2,0.53,19.7,platform,webex-core prod baseline spend is within expected guardrails.
2026-01-18,media-pipeline,prod,1709.8,21.1,52.2,0.53,17.7,realtime,media-pipeline prod baseline spend is within expected guardrails.
2026-01-18,analytics-hub,prod,1973.8,24.6,60.2,0.53,15.7,insights,analytics-hub prod baseline spend is within expected guardrails.
2026-01-19,webex-core,prod,1486.9,18.5,47.4,0.59,21.4,platform,webex-core prod baseline spend is within expected guardrails.
2026-01-19,media-pipeline,staging,1750.9,22.0,55.4,0.59,19.4,realtime,media-pipeline staging baseline spend is within expected guardrails.
2026-01-19,analytics-hub,prod,2014.9,25.5,63.4,0.59,17.4,insights,analytics-hub prod baseline spend is within expected guardrails.
2026-01-20,webex-core,prod,1528.0,19.4,50.6,0.35,23.1,platform,webex-core prod baseline spend is within expected guardrails.
2026-01-20,media-pipeline,prod,1792.0,22.9,58.6,0.35,21.1,realtime,media-pipeline prod baseline spend is within expected guardrails.
2026-01-20,analytics-hub,prod,2056.0,26.4,66.6,0.35,19.1,insights,analytics-hub prod baseline spend is within expected guardrails.
2026-01-21,webex-core,prod,1535.1,20.3,53.8,0.41,18.0,platform,webex-core prod baseline spend is within expected guardrails.
2026-01-21,media-pipeline,prod,1799.1,23.8,61.8,0.41,16.0,realtime,media-pipeline prod baseline spend is within expected guardrails.
2026-01-21,analytics-hub,prod,2063.1,27.3,69.8,0.41,14.0,insights,analytics-hub prod baseline spend is within expected guardrails.
2026-01-22,webex-core,prod,1576.2,21.2,57.0,0.47,19.7,platform,webex-core prod baseline spend is within expected guardrails.
2026-01-22,media-pipeline,prod,1840.2,24.7,65.0,0.47,17.7,realtime,media-pipeline prod baseline spend is within expected guardrails.
2026-01-22,analytics-hub,prod,2104.2,28.2,73.0,0.47,15.7,insights,analytics-hub prod baseline spend is within expected guardrails.
2026-01-23,webex-core,prod,1420.5,14.0,41.0,0.53,21.4,platform,webex-core prod baseline spend is within expected guardrails.
2026-01-23,media-pipeline,prod,1684.5,17.5,49.0,0.53,19.4,realtime,media-pipeline prod baseline spend is within expected guardrails.
2026-01-23,analytics-hub,prod,1948.5,21.0,57.0,0.53,17.4,insights,analytics-hub prod baseline spend is within expected guardrails.
2026-01-24,webex-core,prod,1461.6,14.9,44.2,0.59,23.1,platform,webex-core prod baseline spend is within expected guardrails.
2026-01-24,media-pipeline,prod,1725.6,18.4,52.2,0.59,21.1,realtime,media-pipeline prod baseline spend is within expected guardrails.
2026-01-24,analytics-hub,prod,1989.6,21.9,60.2,0.59,19.1,insights,analytics-hub prod baseline spend is within expected guardrails.
2026-01-25,webex-core,prod,1468.7,15.8,47.4,0.35,18.0,platform,webex-core prod baseline spend is within expected guardrails.
2026-01-25,media-pipeline,prod,1732.7,19.3,55.4,0.35,16.0,realtime,media-pipeline prod baseline spend is within expected guardrails.
2026-01-25,analytics-hub,prod,1996.7,22.8,63.4,0.35,14.0,insights,analytics-hub prod baseline spend is within expected guardrails.
2026-01-26,webex-core,prod,1509.8,16.7,50.6,0.41,19.7,platform,webex-core prod baseline spend is within expected guardrails.
2026-01-26,media-pipeline,staging,1773.8,20.2,58.6,0.41,17.7,realtime,media-pipeline staging baseline spend is within expected guardrails.
2026-01-26,analytics-hub,prod,2037.8,23.7,66.6,0.41,15.7,insights,analytics-hub prod baseline spend is within expected guardrails.
2026-01-27,webex-core,prod,1550.9,17.6,53.8,0.47,21.4,platform,webex-core prod baseline spend is within expected guardrails.
2026-01-27,media-pipeline,prod,1814.9,21.1,61.8,0.47,19.4,realtime,media-pipeline prod baseline spend is within expected guardrails.
2026-01-27,analytics-hub,prod,2078.9,24.6,69.8,0.47,17.4,insights,analytics-hub prod baseline spend is within expected guardrails.
2026-01-28,webex-core,prod,1592.0,18.5,57.0,0.53,23.1,platform,webex-core prod baseline spend is within expected guardrails.
2026-01-28,media-pipeline,prod,1856.0,22.0,65.0,0.88,21.1,realtime,"Media pipeline error rate rose during deployment, creating cost inefficiency from retries."
2026-01-28,analytics-hub,prod,2120.0,25.5,73.0,0.53,19.1,insights,analytics-hub prod baseline spend is within expected guardrails.
2026-01-29,webex-core,prod,1531.9,19.4,41.0,0.59,18.0,platform,webex-core prod baseline spend is within expected guardrails.
2026-01-29,media-pipeline,prod,1795.9,22.9,49.0,0.59,16.0,realtime,media-pipeline prod baseline spend is within expected guardrails.
2026-01-29,analytics-hub,prod,2329.9,26.4,57.0,0.59,24.0,insights,Idle nodes expanded unexpectedly after a batch analytics rollout; investigate autoscaling and warehouse scheduling.
2026-01-30,webex-core,prod,1573.0,20.3,44.2,0.35,19.7,platform,webex-core prod baseline spend is within expected guardrails.
2026-01-30,media-pipeline,prod,1837.0,23.8,52.2,0.35,17.7,realtime,media-pipeline prod baseline spend is within expected guardrails.
2026-01-30,analytics-hub,prod,2101.0,27.3,60.2,0.35,15.7,insights,analytics-hub prod baseline spend is within expected guardrails.
2026-01-31,webex-core,prod,1614.1,21.2,47.4,0.41,21.4,platform,webex-core prod baseline spend is within expected guardrails.
2026-01-31,media-pipeline,prod,1878.1,24.7,55.4,0.41,19.4,realtime,media-pipeline prod baseline spend is within expected guardrails.
2026-01-31,analytics-hub,prod,2142.1,28.2,63.4,0.41,17.4,insights,analytics-hub prod baseline spend is within expected guardrails.
2026-02-01,webex-core,prod,1525.6,14.0,50.6,0.47,23.1,platform,webex-core prod baseline spend is within expected guardrails.
2026-02-01,media-pipeline,prod,1789.6,17.5,58.6,0.47,21.1,realtime,media-pipeline prod baseline spend is within expected guardrails.
2026-02-01,analytics-hub,prod,2053.6,21.0,66.6,0.47,19.1,insights,analytics-hub prod baseline spend is within expected guardrails.
2026-02-02,webex-core,prod,1532.7,14.9,53.8,0.53,18.0,platform,webex-core prod baseline spend is within expected guardrails.
2026-02-02,media-pipeline,staging,1796.7,18.4,61.8,0.53,16.0,realtime,media-pipeline staging baseline spend is within expected guardrails.
2026-02-02,analytics-hub,prod,2060.7,21.9,69.8,0.53,14.0,insights,analytics-hub prod baseline spend is within expected guardrails.
2026-02-03,webex-core,prod,1573.8,15.8,57.0,0.59,19.7,platform,webex-core prod baseline spend is within expected guardrails.
2026-02-03,media-pipeline,prod,1837.8,19.3,65.0,0.59,17.7,realtime,media-pipeline prod baseline spend is within expected guardrails.
2026-02-03,analytics-hub,prod,2101.8,22.8,73.0,0.59,15.7,insights,analytics-hub prod baseline spend is within expected guardrails.
2026-02-04,webex-core,prod,1547.7,16.7,41.0,0.35,21.4,platform,webex-core prod baseline spend is within expected guardrails.
2026-02-04,media-pipeline,prod,1811.7,20.2,49.0,0.35,19.4,realtime,media-pipeline prod baseline spend is within expected guardrails.
2026-02-04,analytics-hub,prod,2075.7,23.7,57.0,0.35,17.4,insights,analytics-hub prod baseline spend is within expected guardrails.
2026-02-05,webex-core,prod,1588.8,17.6,44.2,0.41,23.1,platform,webex-core prod baseline spend is within expected guardrails.
2026-02-05,media-pipeline,prod,1852.8,21.1,52.2,0.76,21.1,realtime,"Media pipeline error rate rose during deployment, creating cost inefficiency from retries."
2026-02-05,analytics-hub,prod,2116.8,24.6,60.2,0.41,19.1,insights,analytics-hub prod baseline spend is within expected guardrails.
2026-02-06,webex-core,prod,1595.9,18.5,47.4,0.47,18.0,platform,webex-core prod baseline spend is within expected guardrails.
2026-02-06,media-pipeline,prod,1859.9,22.0,55.4,0.47,16.0,realtime,media-pipeline prod baseline spend is within expected guardrails.
2026-02-06,analytics-hub,prod,2123.9,25.5,63.4,0.47,14.0,insights,analytics-hub prod baseline spend is within expected guardrails.
2026-02-07,webex-core,prod,1637.0,19.4,50.6,0.53,19.7,platform,webex-core prod baseline spend is within expected guardrails.
2026-02-07,media-pipeline,prod,1901.0,22.9,58.6,0.53,17.7,realtime,media-pipeline prod baseline spend is within expected guardrails.
2026-02-07,analytics-hub,prod,2165.0,26.4,66.6,0.53,15.7,insights,analytics-hub prod baseline spend is within expected guardrails.
2026-02-08,webex-core,prod,1678.1,20.3,53.8,0.59,21.4,platform,webex-core prod baseline spend is within expected guardrails.
2026-02-08,media-pipeline,prod,1942.1,23.8,61.8,0.59,19.4,realtime,media-pipeline prod baseline spend is within expected guardrails.
2026-02-08,analytics-hub,prod,2206.1,27.3,69.8,0.59,17.4,insights,analytics-hub prod baseline spend is within expected guardrails.
2026-02-09,webex-core,prod,1719.2,21.2,57.0,0.35,23.1,platform,webex-core prod baseline spend is within expected guardrails.
2026-02-09,media-pipeline,staging,1983.2,24.7,65.0,0.35,21.1,realtime,media-pipeline staging baseline spend is within expected guardrails.
2026-02-09,analytics-hub,prod,2247.2,28.2,73.0,0.35,19.1,insights,analytics-hub prod baseline spend is within expected guardrails.
2026-02-10,webex-core,prod,1529.5,14.0,41.0,0.41,18.0,platform,webex-core prod baseline spend is within expected guardrails.
2026-02-10,media-pipeline,prod,1793.5,17.5,49.0,0.41,16.0,realtime,media-pipeline prod baseline spend is within expected guardrails.
2026-02-10,analytics-hub,prod,2057.5,21.0,57.0,0.41,14.0,insights,analytics-hub prod baseline spend is within expected guardrails.
2026-02-11,webex-core,prod,1570.6,14.9,44.2,0.47,19.7,platform,webex-core prod baseline spend is within expected guardrails.
2026-02-11,media-pipeline,prod,1834.6,18.4,52.2,0.47,17.7,realtime,media-pipeline prod baseline spend is within expected guardrails.
2026-02-11,analytics-hub,prod,2368.6,21.9,60.2,0.47,25.7,insights,Idle nodes expanded unexpectedly after a batch analytics rollout; investigate autoscaling and warehouse scheduling.
2026-02-12,webex-core,prod,1611.7,15.8,47.4,0.53,21.4,platform,webex-core prod baseline spend is within expected guardrails.
2026-02-12,media-pipeline,prod,1875.7,19.3,55.4,0.53,19.4,realtime,media-pipeline prod baseline spend is within expected guardrails.
2026-02-12,analytics-hub,prod,2139.7,22.8,63.4,0.53,17.4,insights,analytics-hub prod baseline spend is within expected guardrails.
2026-02-13,webex-core,prod,1652.8,16.7,50.6,0.59,23.1,platform,webex-core prod baseline spend is within expected guardrails.
2026-02-13,media-pipeline,prod,1916.8,20.2,58.6,0.59,21.1,realtime,media-pipeline prod baseline spend is within expected guardrails.
2026-02-13,analytics-hub,prod,2180.8,23.7,66.6,0.59,19.1,insights,analytics-hub prod baseline spend is within expected guardrails.
2026-02-14,webex-core,prod,1659.9,17.6,53.8,0.35,18.0,platform,webex-core prod baseline spend is within expected guardrails.
2026-02-14,media-pipeline,prod,1923.9,21.1,61.8,0.35,16.0,realtime,media-pipeline prod baseline spend is within expected guardrails.
2026-02-14,analytics-hub,prod,2187.9,24.6,69.8,0.35,14.0,insights,analytics-hub prod baseline spend is within expected guardrails.
2026-02-15,webex-core,prod,1701.0,18.5,57.0,0.41,19.7,platform,webex-core prod baseline spend is within expected guardrails.
2026-02-15,media-pipeline,prod,1965.0,22.0,65.0,0.41,17.7,realtime,media-pipeline prod baseline spend is within expected guardrails.
2026-02-15,analytics-hub,prod,2229.0,25.5,73.0,0.41,15.7,insights,analytics-hub prod baseline spend is within expected guardrails.
