transaction_id,geo_risk_score,txn_velocity_1h,failed_login_count,avg_transaction_amount,device_trust_score,new_payee_flag,vpn_flag,weekend_flag,segment,fraud_flag
TXN-20056,0.314,20,9,769.14,0.803,0,0,1,partner,legit
TXN-20057,0.569,24,1,490.54,0.43,1,1,0,consumer,legit
TXN-20058,0.193,24,7,677.8,0.507,1,1,0,enterprise,legit
TXN-20059,0.338,35,7,452.33,0.827,0,0,0,partner,legit
TXN-20060,0.316,6,4,839.92,0.35,0,0,0,consumer,legit
TXN-20061,0.434,2,7,811.39,0.299,0,1,0,enterprise,legit
TXN-20062,0.399,39,4,536.89,0.574,0,0,1,partner,legit
TXN-20063,0.458,36,3,662.27,0.68,0,1,1,consumer,legit
TXN-20064,0.182,15,6,663.36,0.401,0,0,0,enterprise,legit
TXN-20065,0.567,28,8,327.64,0.726,0,0,0,partner,legit
TXN-20066,0.206,13,5,131.19,0.589,1,0,0,consumer,legit
TXN-20067,0.29,31,4,693.86,0.951,0,0,0,enterprise,legit
TXN-20068,0.188,13,4,231.56,0.297,0,0,0,partner,legit
TXN-20069,0.341,4,8,291.69,0.924,0,1,1,consumer,legit
TXN-20070,0.19,1,9,284.44,0.543,0,1,1,enterprise,legit
TXN-20071,0.322,31,1,784.57,0.479,0,0,0,partner,legit
TXN-20072,0.147,10,9,902.69,0.22,0,0,0,consumer,legit
TXN-20073,0.466,39,9,229.89,0.579,0,0,0,enterprise,legit
TXN-20074,0.857,28,4,548.83,0.199,1,0,0,partner,fraud
TXN-20075,0.771,14,4,634.2,0.279,0,0,0,consumer,legit
TXN-20076,0.102,29,9,457.02,0.177,0,0,1,enterprise,legit
TXN-20077,0.856,5,3,879.24,0.796,0,0,1,partner,legit
TXN-20078,0.922,28,1,526.44,0.681,1,1,0,consumer,fraud
TXN-20079,0.163,11,4,573.39,0.826,1,0,0,enterprise,legit
TXN-20080,0.512,20,6,896.69,0.56,0,0,0,partner,legit
